Module,Type,App / Tile,App ID,Classic tx / table,Business role,Replaces / notes
Sales & Distribution (SD),Standard,Manage Prices — Sales,VK11,VK11/12/13,SAP_BR_INTERNAL_SALES_REP,pricing condition records
Sales & Distribution (SD),Standard,Manage Business Partner (Customer),BP,BP / XD03,SAP_BR_BUPA_MASTER_SPECIALIST,customer master (sales + FI-AR data)
Sales & Distribution (SD),Master data,Transport Code,Fiori Elements,ZTRANS,master-data role,ZTRANS
Sales & Distribution (SD),Master data,Export Details,Fiori Elements,ZEXP,master-data role,ZMBR2
Sales & Distribution (SD),Master data,Gate Pass,Fiori Elements,ZGP_HDR / ZGP_ITEM,master-data role,"ZGPS01-03, ZGPSI1-3"
Sales & Distribution (SD),Analytics,Pending Contract,ZC_PendingContractQuery,—,reporting role,"ZPCON, ZPCOND, ZPCONS"
Sales & Distribution (SD),Analytics,Export Register,ZC_ExportRegisterQuery,—,reporting role,"ZGCUDB, ZBRC/ZEXP"
Sales & Distribution (SD),Analytics,Dispatch Register,ZC_DispatchRegisterQuery,—,reporting role,ZPWDIS (schedule-wise)
Sales & Distribution (SD),Analytics,Pending / Security Dispatch,ZC_PendingDispatchQuery,—,reporting role,"ZDISPATCH, ZPDESP"
Materials & Inventory (MM),Custom,HU Unpack,freestyle (custom RAP),—,custom business role,ZHUPK
Materials & Inventory (MM),Custom,Inbound Delivery HUs,freestyle (custom RAP),—,custom business role,ZHUINB
Materials & Inventory (MM),Custom,Post Goods Movement (HU / Box),freestyle (custom RAP),—,custom business role,ZBOX_MOVE
Materials & Inventory (MM),Standard,Compare Supplier Quotations,F2324,ME49,SAP_BR_PURCHASER,ZME49
Materials & Inventory (MM),Standard,Manage Material Master,F1602,MM60,SAP_BR_BUYER,ZMM60 — incl. spare-part materials (stock / reorder / vendor)
Materials & Inventory (MM),Standard,Maintain Bill of Material,CS01/02/03,IB01 (equip. BOM),SAP_BR_MAINTENANCE_PLANNER,maintenance BOM — spare-part components list
Materials & Inventory (MM),Standard,Manage Purchase Requisitions,F2229,ME51N / ME53N,SAP_BR_PURCHASER,purchase requisitions (PR)
Materials & Inventory (MM),Standard,Manage Purchase Orders,F0842A,ME21N / ME23N,SAP_BR_PURCHASER,create / manage POs (release = F2872)
Materials & Inventory (MM),Standard,Manage Purchasing Info Records,ME11,ME11/12/13,SAP_BR_PURCHASER,source of supply / purchasing conditions
Materials & Inventory (MM),Standard,Post Goods Receipt for Purchasing Doc,F0843,MIGO,SAP_BR_WAREHOUSE_CLERK,GR against PO / inbound delivery
Materials & Inventory (MM),Standard,Create Supplier Invoice,F0859,MIRO,SAP_BR_AP_ACCOUNTANT,invoice verification — 3-way match (LIV)
Materials & Inventory (MM),Standard,Stock — Multiple Materials,MMBE,MMBE / MB52,SAP_BR_WAREHOUSE_CLERK,stock overview across plant / storage / batch
Materials & Inventory (MM),Standard,Manage Physical Inventory,MI01,MI01/04/07,SAP_BR_WAREHOUSE_CLERK,count sheets + post differences
Materials & Inventory (MM),Standard,Monitor Material Coverage (MRP),F0247,MD04 / MD01N,SAP_BR_MRP_CONTROLLER,MRP net requirements / shortages (uses standard Min/Max)
Materials & Inventory (MM),Standard,Release Purchase Orders,F2872,ME29N,SAP_BR_PURCHASING_MANAGER,Flexible Workflow (config F2872) → approve in My Inbox (F0862)
Materials & Inventory (MM),Master data,Truck Master,Fiori Elements,ZTB_TRUCK_MSTR,master-data role,ZTRUCK
Materials & Inventory (MM),Analytics,HU Inventory,ZC_HuInventoryQuery,—,reporting role,ZHUINV_CLS
Materials & Inventory (MM),Analytics,HU Monitor / Reconciliation,ZC_HuMonitorQuery,—,reporting role,"ZHUMO, ZHUREC"
Quality (QM),Custom,Record Inspection Results (Mass),freestyle (custom RAP),—,custom business role,ZQA32
Quality (QM),Standard,Master Inspection Characteristics,F2219,QS21/22/23,SAP_BR_QUALITY_PLANNER,MIC master (shade/denier via batch class)
Quality (QM),Standard,Manage Inspection Plans,F3788,QP01/02/03,SAP_BR_QUALITY_PLANNER,inspection plan / task-list master
Quality (QM),Standard,Manage Inspection Lots,QA32/QA33,QA03 (display),SAP_BR_QUALITY_ENGINEER,inspection-lot worklist — triggers results & usage decision
Quality (QM),Standard,Record Inspection Results,F2170,QE51N,SAP_BR_QUALITY_TECHNICIAN,standard results recording (your custom app = mass ZQA32 version)
Quality (QM),Standard,Record Results for Inspection Points,F2689,QE01,SAP_BR_QUALITY_TECHNICIAN,in-process inspection points (production)
Quality (QM),Standard,Manage Usage Decisions,QA11,QA11 / QA13,SAP_BR_QUALITY_ENGINEER,accept / reject the inspection lot
Quality (QM),Standard,Manage Quality Notifications,QM01,QM01/02/03,SAP_BR_QUALITY_ENGINEER,customer / vendor complaints + internal quality problems
Quality (QM),Standard,Create Quality Certificate (Delivery),QC22,QC22 / QC01 (profile),SAP_BR_QUALITY_ENGINEER,outbound quality certificate — exports
Quality (QM),Standard,Manage Quality Info Records,QI01,QI01 / QV51,SAP_BR_QUALITY_ENGINEER,procurement / sales quality info records
Quality (QM),Standard,Manage Catalogs / Code Groups,QS41,QS41 / QS51,SAP_BR_QUALITY_PLANNER,defect / failure catalogs (ISO 14224 codes)
Finance (FI),Standard,Display Line Items in G/L,F0706,FAGLL03,SAP_BR_GL_ACCOUNTANT,ZFBL3N / ZZFBL3N
Finance (FI),Standard,Manage Customer Line Items,F0711,FBL5N,SAP_BR_AR_ACCOUNTANT,ZFBL5N / ZZFBL5N
Finance (FI),Standard,Manage Journal Entries,F0717A,FB03,SAP_BR_GL_ACCOUNTANT,ZFB03
Finance (FI),Standard,Manage Credit Memo Requests,F0696,VA01 (G2/L2),SAP_BR_BILLING_CLERK,ZCRDRNOTE
Finance (FI),Standard,Post Asset Acquisition,ABZON,F-90,SAP_BR_AA_ACCOUNTANT,ZF90
Finance (FI),Standard,Maintenance Order Budget,KO22,KO22 / cost-centre plan,SAP_BR_OVERHEAD_ACCOUNTANT,internal-order / cost-centre budget for maintenance (order costs settle here)
Finance (FI),Standard,Reprocess Bank Statement Items,F1681,FF67,SAP_BR_CASH_SPECIALIST,ZFF67
Finance (FI),Standard,Manage Documented Credit Decisions,F5587A,FSCM-CR (DCD),SAP_BR_CREDIT_CONTROLLER,ZCM_RELEASE — check / release / reject credit-blocked SD docs
Finance (FI),Standard,Post General Journal Entries,F0718,FB50,SAP_BR_GL_ACCOUNTANT,manual G/L postings
Finance (FI),Standard,Manage Supplier Line Items,F0712,FBL1N,SAP_BR_AP_ACCOUNTANT,AP open / cleared items
Finance (FI),Standard,Post Incoming Payments,F1345,F-28,SAP_BR_AR_ACCOUNTANT,AR receipts + clearing
Finance (FI),Standard,Post Outgoing Payments,F1612,F-53,SAP_BR_AP_ACCOUNTANT,AP payments
Finance (FI),Standard,Schedule Automatic Payments,F110,F110,SAP_BR_AP_ACCOUNTANT,automatic payment program (payment run)
Finance (FI),Standard,Asset Values / Explorer,AW01N,AW01N,SAP_BR_AA_ACCOUNTANT,asset values + depreciation (Post Asset Acquisition = ABZON)
Finance (FI),Standard,Trial Balance,F0996A,S_ALR / F.01,SAP_BR_GL_ACCOUNTANT,trial balance / G/L reporting (Balance Sheet & P&L)
Finance (FI),Master data,Digital Signature,Fiori Elements,ZTDIGI_SIGN,master-data role,ZDIGI
Finance (FI),Master data,C-Form Allocation,Fiori Elements,ZCFORM1,master-data role,ZCFORM1/ZFORM/ZFORMS/ZPCFORM
Finance (FI),Analytics,GST Tax,ZC_GstTaxQuery,—,reporting role,"ZGST, ZGST1, ZGST2, ZGSTCR"
Maintenance (PM),Standard,Request Maintenance,F1511A,IW21 (simplified),SAP_BR_EMPLOYEE_MAINTENANCE,shop-floor maintenance request (any employee)
Maintenance (PM),Standard,Manage Maintenance Plans,F5325,IP01/02/03,SAP_BR_MAINTENANCE_PLANNER,preventive plans + strategy
Maintenance (PM),Standard,Mass Schedule Maintenance Plans,F2774,IP30,SAP_BR_MAINTENANCE_PLANNER,schedule due plans / deadline monitoring
Maintenance (PM),Standard,Advanced Scheduling Board,F5460,IW37N (order ops),SAP_BR_MAINTENANCE_PLANNER,graphical Gantt scheduling — dispatch order operations to work centres (planner dashboard = F2227)
Maintenance (PM),Standard,Report and Repair Malfunction,F2023,IW21 / IW26,SAP_BR_MAINTENANCE_TECHNICIAN,emergency malfunction report + repair
Maintenance (PM),Standard,Manage Maintenance Notifications & Orders,F4604,IW28 / IW38,SAP_BR_MAINTENANCE_PLANNER,maintenance notifications + work orders
Maintenance (PM),Standard,Breakdown Analysis (EAM KPI),F2812,MCI3 / MCI8,SAP_BR_MAINTENANCE_PLANNER,downtime / MTBF / MTTR KPIs
Maintenance (PM),Standard,Perform Maintenance Jobs,F5104A,IW41 (time conf.),SAP_BR_MAINTENANCE_TECHNICIAN,technician executes the order — steps + time & material confirmation
Maintenance (PM),Standard,Process Task List (Planner),W0021,IA05 / IA06,SAP_BR_MAINTENANCE_PLANNER,maintenance task lists — operations behind the plans / strategies
Maintenance (PM),Standard,Process Measuring Point,W0031,IK01 / IK03,SAP_BR_MAINTENANCE_TECHNICIAN,measuring points / counters — for condition & counter-based plans
Maintenance (PM),Standard,Process Measurement Document,W0014,IK11 / IK13,SAP_BR_MAINTENANCE_TECHNICIAN,record meter / counter readings — drives counter-based scheduling
Maintenance (PM),Standard,Process Technical Object,W0029,IE01-03 / IL01-03 / IH01,SAP_BR_MD_SPECIALIST_EAM,equipment & functional-location master (machines); display = W0028
Workflow & Approvals,Standard,My Inbox (All Items),F0862,SBWP,SAP_BR_EMPLOYEE,"central inbox for Flexible Workflow approvals — PO, sales contract, credit"
